estrutura,num_threads,op_total,prop_escrita,op_tipo,tempo
ConcurrentHashMap,2,100,0.8,read,8140
ConcurrentHashMap,2,100,0.8,read,21235
ConcurrentHashMap,2,100,0.8,read,1415
ConcurrentHashMap,2,100,0.8,read,1062
ConcurrentHashMap,2,100,0.8,read,1416
ConcurrentHashMap,2,100,0.8,read,1061
ConcurrentHashMap,2,100,0.8,read,1416
ConcurrentHashMap,2,100,0.8,read,2124
ConcurrentHashMap,2,100,0.8,read,1416
ConcurrentHashMap,2,100,0.8,read,1062
ConcurrentHashMap,2,100,0.8,read,1415
ConcurrentHashMap,2,100,0.8,read,1062
ConcurrentHashMap,2,100,0.8,read,2124
ConcurrentHashMap,2,100,0.8,read,1416
ConcurrentHashMap,2,100,0.8,read,1062
ConcurrentHashMap,2,100,0.8,read,1769
ConcurrentHashMap,2,100,0.8,read,1416
ConcurrentHashMap,2,100,0.8,read,1062
ConcurrentHashMap,2,100,0.8,read,708
ConcurrentHashMap,2,100,0.8,read,1416
ConcurrentHashMap,2,100,0.8,write,25835
ConcurrentHashMap,2,100,0.8,write,7432
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,75381
ConcurrentHashMap,2,100,0.8,write,5662
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3186
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,4247
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,2832
ConcurrentHashMap,2,100,0.8,write,3186
ConcurrentHashMap,2,100,0.8,write,38222
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3539
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,4247
ConcurrentHashMap,2,100,0.8,write,3186
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,60518
ConcurrentHashMap,2,100,0.8,write,14510
ConcurrentHashMap,2,100,0.8,write,4247
ConcurrentHashMap,2,100,0.8,write,25127
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,10971
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,59809
