estrutura,num_threads,op_total,prop_escrita,op_tipo,tempo
ConcurrentHashMap,1,100,0.5,read,12633
ConcurrentHashMap,1,100,0.5,read,1580
ConcurrentHashMap,1,100,0.5,read,1184
ConcurrentHashMap,1,100,0.5,read,1184
ConcurrentHashMap,1,100,0.5,read,790
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,1185
ConcurrentHashMap,1,100,0.5,read,3948
ConcurrentHashMap,1,100,0.5,read,1973
ConcurrentHashMap,1,100,0.5,read,1580
ConcurrentHashMap,1,100,0.5,read,2763
ConcurrentHashMap,1,100,0.5,read,1974
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,1974
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,3552
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,1184
ConcurrentHashMap,1,100,0.5,read,1184
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,1184
ConcurrentHashMap,1,100,0.5,read,3948
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,1185
ConcurrentHashMap,1,100,0.5,read,789
ConcurrentHashMap,1,100,0.5,read,1185
ConcurrentHashMap,1,100,0.5,read,1184
ConcurrentHashMap,1,100,0.5,read,1184
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,789
ConcurrentHashMap,1,100,0.5,read,2763
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,1973
ConcurrentHashMap,1,100,0.5,read,1974
ConcurrentHashMap,1,100,0.5,read,1184
ConcurrentHashMap,1,100,0.5,read,1185
ConcurrentHashMap,1,100,0.5,read,789
ConcurrentHashMap,1,100,0.5,read,1579
ConcurrentHashMap,1,100,0.5,read,790
ConcurrentHashMap,1,100,0.5,read,5132248
ConcurrentHashMap,1,100,0.5,read,4342
ConcurrentHashMap,1,100,0.5,read,1185
ConcurrentHashMap,1,100,0.5,read,790
ConcurrentHashMap,1,100,0.5,read,1184
ConcurrentHashMap,1,100,0.5,read,790
ConcurrentHashMap,1,100,0.5,read,394
ConcurrentHashMap,1,100,0.5,write,29607
ConcurrentHashMap,1,100,0.5,write,7500
ConcurrentHashMap,1,100,0.5,write,4342
ConcurrentHashMap,1,100,0.5,write,2763
