estrutura,num_threads,operacao,tempo
ConcurrentHashMap,1,read,6711
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,2763
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,2763
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1580
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,790
ConcurrentHashMap,1,read,790
ConcurrentHashMap,1,read,2763
ConcurrentHashMap,1,read,790
ConcurrentHashMap,1,read,394
ConcurrentHashMap,1,read,1185
ConcurrentHashMap,1,read,2369
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,395
ConcurrentHashMap,1,read,790
ConcurrentHashMap,1,read,394
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,395
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,395
ConcurrentHashMap,1,read,395
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,790
ConcurrentHashMap,1,read,6316
ConcurrentHashMap,1,read,2763
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,7895
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,3158
ConcurrentHashMap,1,read,2369
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,3916788
ConcurrentHashMap,1,read,2368
ConcurrentHashMap,1,read,26843
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,2369
ConcurrentHashMap,1,read,2368
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,395
ConcurrentHashMap,1,read,790
ConcurrentHashMap,1,read,2369
ConcurrentHashMap,1,read,2368
ConcurrentHashMap,1,read,2369
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,2369
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,2368
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,2369
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,2369
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,8290
ConcurrentHashMap,1,read,1973
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,2368
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,2763
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1974
ConcurrentHashMap,1,read,2369
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,2369
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,1185
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1579
ConcurrentHashMap,1,read,1184
ConcurrentHashMap,1,read,789
ConcurrentHashMap,1,read,789
